id,symbol,date,revenue
,SNE,2009 Q4,3603.00
,SNE,2008 Q3,5241.00
,SNE,2008 Q2,5360.00
,SNE,2008 Q1,5768.00
,SNE,2008 Q4,5907.00
,SNE,2007 Q3,7232.00
,SNE,2007 Q2,5033.00
,SNE,2007 Q1,5265.00
,SNE,2007 Q4,3796.00
,SNE,2006 Q3,6617.00
,SNE,2006 Q2,4811.00
,SNE,2006 Q1,4627.00
,SNE,2006 Q4,3680.00
,SNE,2005 Q3,6722.00
,SNE,2005 Q2,4630.00
,SNE,2005 Q1,4206.00
,SNE,2005 Q4,6736.00
