Date,Symbol,Price,LongTraderNumber,LongLotNumber,LongAverageEntry,ShortTraderNumber,ShortLotNumber,ShortAverageEntry
2019/07/02 15:13:55,USDCAD,1.31219,190,57.3,1.3205,88,313.1,1.3151
2019/07/03 10:21:43,EURCHF,1.11304,49,19.7,1.1242,33,2.0,1.1155
2019/07/03 10:22:11,GBPJPY,135.345,177,60.9,138.59,72,15.1,137.53
2019/07/03 10:22:39,USDMXN,19.08298,2,0.2,19.6509,4,0.1,19.0689
2019/07/03 10:23:07,EURGBP,0.89728,42,5.4,0.8723,176,46.8,0.8833
2019/07/03 10:23:36,EURUSD,1.12788,297,82.1,1.1365,326,96.3,1.1267
2019/07/03 10:24:04,GBPCAD,1.64875,84,37.7,1.6886,23,0.8,1.6853
2019/07/03 10:24:31,CADJPY,82.11200000000002,41,5.0,83.74,63,9.3,81.76
2019/07/03 10:24:59,CHFJPY,109.13,29,3.1,110.42,30,4.6,110.14
2019/07/03 10:25:28,USDCHF,0.9869899999999999,87,34.0,1.0023,80,15.4,0.9856
2019/07/03 10:25:56,USDJPY,107.711,190,69.5,109.11,120,16.8,108.27
2019/07/03 10:26:23,EURJPY,121.491,110,16.9,122.77,97,6.8,122.29
2019/07/03 10:26:52,EURCAD,1.47955,83,44.4,1.4882,25,2.2,1.4848
2019/07/03 10:27:20,GBPUSD,1.12788,261,361.6,1.2861,156,211.3,1.272
2019/07/03 10:27:48,USDCAD,1.31149,197,47.5,1.3224,93,116.1,1.3109
2019/07/04 08:54:07,EURCHF,1.1130799999999998,53,19.6,1.1244,34,1.6,1.1162
2019/07/04 08:54:37,GBPJPY,135.548,184,60.6,138.58,85,22.2,136.7
2019/07/04 08:55:08,USDMXN,19.00398,2,0.2,19.6509,2,0.0,19.0074
2019/07/04 08:55:42,EURGBP,0.8973399999999999,46,6.2,0.8756,179,47.1,0.8835
2019/07/04 08:56:14,EURUSD,1.1284399999999999,326,193.1,1.1318,335,119.4,1.1267
2019/07/04 08:56:44,GBPCAD,1.64353,74,34.2,1.6911,23,0.9,1.6801
2019/07/04 08:57:12,CADJPY,82.463,46,5.1,83.7,60,9.4,81.77
2019/07/04 08:57:39,CHFJPY,109.272,29,3.0,110.45,34,4.9,110.09
2019/07/04 08:58:08,USDCHF,0.98645,94,37.2,1.001,85,15.9,0.9858
2019/07/04 08:58:36,USDJPY,107.8,197,64.0,109.24,124,17.4,108.23
2019/07/04 08:59:04,EURJPY,121.62799999999999,118,9.9,123.59,89,7.2,122.22
2019/07/04 08:59:32,EURCAD,1.475,76,32.3,1.4869,26,1.6,1.4828
2019/07/04 08:59:59,GBPUSD,1.25722,272,411.5,1.2826,168,158.6,1.2771
2019/07/04 09:00:28,USDCAD,1.30728,173,59.9,1.3189,88,268.3,1.3097
2019/07/05 08:59:35,EURCHF,1.1119,56,19.1,1.1239,42,2.7,1.1145
2019/07/05 09:00:04,GBPJPY,135.735,182,57.0,138.76,90,20.4,136.85
2019/07/05 09:00:30,USDMXN,19.01446,2,0.2,19.6509,3,0.0,18.9997
2019/07/05 09:00:58,EURGBP,0.8960799999999999,51,6.4,0.8762,184,58.3,0.8843
2019/07/05 09:01:26,EURUSD,1.1273600000000001,346,227.1,1.1312,316,91.4,1.1262
2019/07/05 09:01:54,GBPCAD,1.64267,77,52.2,1.6743,25,0.8,1.6821
2019/07/05 09:02:23,CADJPY,82.648,46,5.3,83.66,60,8.2,81.68
2019/07/05 09:02:51,CHFJPY,109.404,28,2.7,110.57,27,2.9,110.24
2019/07/05 09:03:19,USDCHF,0.98629,92,36.9,1.0011,94,14.2,0.9856
2019/07/05 09:03:48,USDJPY,107.916,203,68.4,109.15,119,15.3,108.28
2019/07/05 09:04:18,EURJPY,121.662,123,10.5,123.48,103,10.3,122.05
2019/07/05 09:04:47,EURCAD,1.47184,81,32.4,1.4867,29,1.3,1.4773
2019/07/05 09:05:17,GBPUSD,1.2577399999999999,280,390.7,1.2839,168,161.0,1.2768
2019/07/05 09:05:46,USDCAD,1.3057,173,50.5,1.3208,87,260.2,1.3098
2019/07/08 09:33:01,EURCHF,1.1123,51,16.8,1.1255,35,2.1,1.1153
2019/07/08 09:33:31,GBPJPY,135.64,173,52.6,138.69,87,22.4,136.71
2019/07/08 09:33:59,USDMXN,18.97505,2,0.2,19.6509,2,0.0,19.0004
2019/07/08 09:34:29,EURGBP,0.89659,46,5.7,0.8736,179,57.9,0.8845
2019/07/08 09:34:56,EURUSD,1.1227,382,361.2,1.1261,263,79.3,1.1232
2019/07/08 09:35:23,GBPCAD,1.63592,77,38.0,1.685,23,1.0,1.6682
2019/07/08 09:35:52,CADJPY,82.895,41,5.8,83.52,70,61.8,82.74
2019/07/08 09:36:20,CHFJPY,109.315,31,2.2,110.89,39,3.3,110.12
2019/07/08 09:36:48,USDCHF,0.99093,86,35.2,1.0024,90,17.8,0.987
2019/07/08 09:37:16,USDJPY,108.346,174,76.8,109.17,126,17.5,108.4
2019/07/08 09:37:44,EURJPY,121.645,124,11.4,123.41,100,8.3,122.14
2019/07/08 09:38:11,EURCAD,1.46712,93,47.4,1.4787,34,2.1,1.4718
2019/07/08 09:38:40,GBPUSD,1.25197,269,337.2,1.2816,147,149.2,1.2776
2019/07/08 09:39:09,USDCAD,1.30691,155,56.8,1.3196,84,257.6,1.3098
2019/07/09 09:22:49,EURCHF,1.1144399999999999,51,26.7,1.1207,33,2.5,1.1165
2019/07/09 09:23:16,GBPJPY,135.937,176,52.1,138.83,84,15.7,136.76
2019/07/09 09:23:42,USDMXN,18.923370000000002,4,0.2,19.4704,3,0.0,18.9473
2019/07/09 09:24:09,EURGBP,0.89745,47,5.4,0.8725,188,62.0,0.8853
2019/07/09 09:24:37,EURUSD,1.1209799999999999,389,424.8,1.1254,280,70.9,1.1231
2019/07/09 09:25:04,GBPCAD,1.63827,85,37.4,1.6841,24,1.2,1.6615
2019/07/09 09:25:30,CADJPY,82.99600000000002,46,5.3,83.9,68,61.9,82.75
2019/07/09 09:25:57,CHFJPY,109.501,33,2.2,110.9,40,6.1,109.79
2019/07/09 09:26:23,USDCHF,0.9940700000000001,87,35.0,1.0026,88,25.6,0.9891
2019/07/09 09:26:51,USDJPY,108.877,195,47.3,109.67,134,49.1,108.63
