id,Symbol,date,Open,High,Low,Close,Volume,MovingAverage
,GBPUSD,21/05/2019 16:00,1.27363,1.28131,1.27125,1.27289,34443,1.27588
,GBPUSD,21/05/2019 20:00,1.27289,1.27346,1.26965,1.27040,8293,1.27531
,GBPUSD,22/05/2019 00:00,1.27042,1.27150,1.27003,1.27144,7277,1.27478
,GBPUSD,22/05/2019 04:00,1.27143,1.27186,1.27101,1.27123,5172,1.27432
,GBPUSD,22/05/2019 08:00,1.27123,1.27153,1.26610,1.26622,17574,1.27392
,GBPUSD,22/05/2019 12:00,1.26621,1.26773,1.26405,1.26542,17567,1.27350
,GBPUSD,22/05/2019 16:00,1.26542,1.26894,1.26235,1.26741,26153,1.27289
,GBPUSD,22/05/2019 20:00,1.26738,1.26934,1.26583,1.26600,9598,1.27221
,GBPUSD,23/05/2019 00:00,1.26598,1.26672,1.26458,1.26537,5301,1.27167
,GBPUSD,23/05/2019 04:00,1.26537,1.26555,1.26426,1.26447,5790,1.27121
,GBPUSD,23/05/2019 08:00,1.26447,1.26483,1.26045,1.26247,19729,1.27083
,GBPUSD,23/05/2019 12:00,1.26246,1.26504,1.26218,1.26420,21185,1.27041
,GBPUSD,23/05/2019 16:00,1.26420,1.26834,1.26232,1.26769,32528,1.26984
,GBPUSD,23/05/2019 20:00,1.26768,1.26770,1.26517,1.26553,8247,1.26939
,GBPUSD,24/05/2019 00:00,1.26571,1.26641,1.26506,1.26608,6939,1.26905
,GBPUSD,24/05/2019 04:00,1.26607,1.26640,1.26563,1.26594,6341,1.26866
,GBPUSD,24/05/2019 08:00,1.26595,1.26903,1.26576,1.26877,14929,1.26835
,GBPUSD,24/05/2019 12:00,1.26877,1.27173,1.26466,1.26699,25654,1.26804
,GBPUSD,24/05/2019 16:00,1.26699,1.27138,1.26624,1.27133,22562,1.26785
,GBPUSD,24/05/2019 20:00,1.27134,1.27322,1.27082,1.27104,8049,1.26759
