0,1,2
1,GBPUSD,"[[490.56, 110.0], [360.24, 85.0], [325.47, 210.0], [241.62, 60.0], [57.7, 35.0], [-18.26, 135.0], [-57.03, 185.0], [-70.18, 160.0], [-87.9, 10.0]]"
1,GBPUSD,"[[-33.47, 35.0], [-60.14, 10.0], [-119.71, 60.0], [-215.56, 85.0], [-469.38, 135.0], [-493.67, 185.0], [-493.7, 110.0], [-493.76, 160.0], [-493.96, 210.0]]"
1,GBPUSD,"[[417.07, 85.0], [389.85, 110.0], [320.98, 135.0], [178.98, 160.0], [-99.2, 10.0], [-141.73, 35.0], [-200.76, 185.0], [-300.96, 210.0], [-373.18, 60.0]]"
1,GBPUSD,"[[110.07, 185.0], [109.67, 210.0], [109.47, 160.0], [-14.2, 10.0], [-43.21, 60.0], [-282.53, 35.0], [-493.59, 85.0], [-493.7, 135.0], [-493.72, 110.0]]"
1,GBPUSD,"[[119.43, 210.0], [98.31, 160.0], [66.72, 60.0], [60.21, 185.0], [52.06, 35.0], [41.99, 85.0], [15.04, 110.0], [-102.7, 10.0], [-216.01, 135.0]]"
1,GBPUSD,"[[218.68, 110.0], [97.38, 135.0], [78.52, 85.0], [57.48, 160.0], [37.03, 60.0], [-0.8, 35.0], [-81.3, 10.0], [-140.31, 185.0], [-366.25, 210.0]]"
1,GBPUSD,"[[220.68, 85.0], [162.14, 135.0], [122.46, 110.0], [68.1, 160.0], [-20.1, 10.0], [-21.15, 185.0], [-46.35, 210.0], [-81.31, 60.0], [-247.17, 35.0]]"
1,GBPUSD,"[[0.17, 60.0], [-13.83, 135.0], [-33.21, 110.0], [-38.43, 35.0], [-55.41, 85.0], [-81.6, 10.0], [-174.2, 160.0], [-420.37, 185.0], [-493.77, 210.0]]"
1,GBPUSD,"[[8.32, 160.0], [-12.81, 135.0], [-18.5, 10.0], [-183.57, 185.0], [-185.74, 35.0], [-493.72, 85.0], [-493.98, 60.0], [-494.0, 210.0], [-494.05, 110.0]]"
1,GBPUSD,"[[246.27, 160.0], [194.17, 185.0], [136.16, 210.0], [-12.07, 35.0], [-28.01, 110.0], [-40.6, 10.0], [-87.99, 135.0], [-235.28, 60.0], [-493.84, 85.0]]"
1,GBPUSD,"[[228.77, 160.0], [201.07, 135.0], [176.88, 85.0], [114.53, 60.0], [105.34, 185.0], [50.52, 35.0], [-67.42, 110.0], [-146.99, 210.0], [-162.7, 10.0]]"
1,GBPUSD,"[[225.47, 110.0], [171.79, 85.0], [119.57, 35.0], [-71.08, 60.0], [-112.3, 10.0], [-188.19, 135.0], [-316.68, 160.0], [-338.1, 210.0], [-403.32, 185.0]]"
1,GBPUSD,"[[461.08, 210.0], [413.68, 185.0], [377.03, 85.0], [287.85, 60.0], [72.43, 35.0], [56.23, 110.0], [-25.74, 135.0], [-57.5, 10.0], [-75.05, 160.0]]"
1,GBPUSD,"[[461.08, 210.0], [413.68, 185.0], [377.03, 85.0], [287.85, 60.0], [72.43, 35.0], [56.23, 110.0], [-25.74, 135.0], [-57.5, 10.0], [-75.05, 160.0]]"
1,GBPUSD,"[[422.63, 135.0], [325.24, 210.0], [293.69, 185.0], [262.64, 160.0], [-62.97, 85.0], [-71.11, 35.0], [-83.5, 10.0], [-87.3, 110.0], [-129.03, 60.0]]"
1,GBPUSD,"[[383.02, 60.0], [308.4, 160.0], [301.9, 185.0], [281.89, 210.0], [245.88, 135.0], [205.07, 110.0], [7.01, 85.0], [-60.5, 10.0], [-131.07, 35.0]]"
1,GBPUSD,"[[793.4, 185.0], [719.09, 160.0], [709.97, 210.0], [699.12, 110.0], [587.08, 135.0], [511.63, 85.0], [350.19, 60.0], [-61.2, 10.0], [-106.07, 35.0]]"
1,GBPUSD,"[[48.5, 35.0], [18.33, 60.0], [-54.3, 10.0], [-62.3, 85.0], [-149.87, 110.0], [-199.81, 135.0], [-493.85, 185.0], [-493.88, 160.0], [-494.49, 210.0]]"
