Date,Symbol,Price,Hour1Buy,Hour1Sell,Hour1Neutral,Hour4Buy,Hour4Sell,Hour4Neutral,DayBuy,DaySell,DayNeutral,WeekBuy,WeekSell,WeekNeutral,MonthBuy,MonthSell,MonthNeutral,Hour1Desition,Hour4Desition,DayDesition,WeekDesition,MonthDesition,Hour1PeriodStatus,Hour1ClosingPrice,Hour4PeriodStatus,Hour4ClosingPrice,DayPeriodStatus,DayClosingPrice,WeekPeriodStatus,WeekClosingPrice,MonthPeriodStatus,MonthClosingPrice,Hour1Accuracy,Hour1ProfitPercentage,Hour4Accuracy,Hour4ProfitPercentage,DayAccuracy,DayProfitPercentage,WeekAccuracy,WeekProfitPercentage,MonthAccuracy,MonthProfitPercentage
2019-04-17 17:12:05,USDJPY,111.98,10,9,9,14,4,10,17,4,6,17,1,9,13,1,9,BUY,BUY,BUY,BUY,BUY,CLOSED,111.92,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,0,-0.0005360972122945164,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
2019-04-17 17:13:06,EURJPY,126.54,15,4,9,12,6,10,15,4,8,8,10,9,3,11,9,BUY,BUY,BUY,SELL,SELL,CLOSED,126.43,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,0,-0.0008700466661393611,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
2019-04-17 17:14:08,CADCHF,0.7569,16,3,9,17,3,8,17,2,8,16,2,9,11,4,8,BUY,BUY,BUY,BUY,BUY,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
2019-04-17 17:15:10,EURCAD,1.5056,4,14,10,5,14,9,9,10,8,9,9,9,6,7,10,SELL,SELL,SELL,NEUTRAL,NEUTRAL,CLOSED,1.5076,CLOSED,1.5084,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,0,-0.0013266118333775548,0,-0.001856271546008959,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
2019-04-17 17:16:12,GBPUSD,1.3047,5,13,10,1,18,9,4,14,9,7,11,9,3,11,9,SELL,SELL,SELL,SELL,SELL,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
2019-04-17 17:17:13,USDCAD,1.3325,4,15,9,2,17,9,5,14,8,11,6,10,14,0,9,SELL,SELL,SELL,BUY,BUY,CLOSED,1.3351,CLOSED,1.3352,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,0,-0.0019474196689386082,0,-0.002022168963451112,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
2019-04-17 18:04:13,EURCHF,1.1409,18,2,8,18,3,7,17,2,8,15,2,10,10,4,9,BUY,BUY,BUY,BUY,BUY,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
2019-04-17 18:05:11,GBPJPY,145.91,2,18,8,3,16,9,12,5,10,12,5,10,8,7,8,SELL,SELL,BUY,BUY,NEUTRAL,CLOSED,146.13,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,0,-0.001505508793539991,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
2019-04-17 18:06:24,USDMXN,18.8354,3,16,9,4,14,10,2,16,9,4,16,7,5,9,9,SELL,SELL,SELL,SELL,NEUTRAL,CLOSED,18.8454,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,0,-0.0005306334702368516,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
2019-04-17 18:07:31,EURGBP,0.8666,17,2,9,18,2,8,13,7,7,7,10,10,5,11,7,BUY,BUY,BUY,NEUTRAL,SELL,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
2019-04-17 18:08:38,EURUSD,1.1298,6,12,10,10,9,9,12,6,9,6,11,10,2,13,8,SELL,BUY,BUY,SELL,SELL,CLOSED,1.1299,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,0,-8.850340738117444e-05,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
2019-04-17 18:09:49,GBPCAD,1.7393,7,11,10,3,18,7,5,13,9,11,6,10,11,4,8,SELL,SELL,SELL,BUY,BUY,CLOSED,1.7399,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,0,-0.00034484740502323924,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
2019-04-17 18:10:57,CADJPY,83.89,6,12,10,16,3,9,15,3,9,9,8,10,3,11,9,SELL,BUY,BUY,NEUTRAL,SELL,CLOSED,83.96,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,0,-0.0008337303477845781,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
2019-04-17 18:12:13,CHFJPY,110.82,3,19,6,1,18,9,2,17,8,2,17,8,2,12,9,SELL,SELL,SELL,SELL,SELL,CLOSED,110.87,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,0,-0.00045097862361334325,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
2019-04-17 18:13:15,USDCHF,1.01,20,3,5,19,2,7,17,1,9,16,1,10,12,1,10,BUY,BUY,BUY,BUY,BUY,CLOSED,1.0106,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,1,0.0005937067088857451,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
2019-04-17 18:14:25,USDJPY,111.98,10,9,9,13,5,10,17,3,7,17,1,9,13,1,9,BUY,BUY,BUY,BUY,BUY,CLOSED,111.92,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,0,-0.0005360972122945164,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
2019-04-17 18:15:34,EURJPY,126.43,4,15,9,9,9,10,15,5,7,8,10,9,4,10,9,SELL,NEUTRAL,BUY,SELL,SELL,CLOSED,126.56,CLOSED,126.43,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,0,-0.001027180783817916,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
2019-04-17 18:16:50,CADCHF,0.7568,13,5,10,17,3,8,17,2,8,15,3,9,11,4,8,BUY,BUY,BUY,BUY,BUY,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
